date_GMT,status,home_team_name,away_team_name,referee,home_team_goal_count,away_team_goal_count,total_goal_count,stadium_name
Mar 09 2019 - 5:30pm,complete,Manchester City,Watford,Paul Tierney,3,1,4,Etihad Stadium (Manchester)
Mar 10 2019 - 12:00pm,complete,Liverpool,Burnley,Andre Marriner,4,2,6,Anfield (Liverpool)
Mar 10 2019 - 2:05pm,complete,Chelsea,Wolverhampton Wanderers,Michael Oliver,1,1,2,Stamford Bridge (London)
Mar 10 2019 - 4:30pm,complete,Arsenal,Manchester United,Jonathan Moss,2,0,2,Emirates Stadium (London)
Mar 16 2019 - 3:00pm,complete,AFC Bournemouth,Newcastle United,Mike Dean,2,2,4,Vitality Stadium (Bournemouth- Dorset)
Mar 16 2019 - 3:00pm,complete,Burnley,Leicester City,Michael Oliver,1,2,3,Turf Moor (Burnley)
Mar 16 2019 - 3:00pm,complete,West Ham United,Huddersfield Town,Jonathan Moss,4,3,7,London Stadium (London)
Mar 17 2019 - 2:15pm,complete,Fulham,Liverpool,Craig Pawson,1,2,3,Craven Cottage (London)
Mar 17 2019 - 4:30pm,complete,Everton,Chelsea,Anthony Taylor,2,0,2,Goodison Park (Liverpool)
Mar 30 2019 - 12:30pm,complete,Fulham,Manchester City,Kevin Friend,0,2,2,Craven Cottage (London)
Mar 30 2019 - 3:00pm,complete,Brighton & Hove Albion,Southampton,Michael Oliver,0,1,1,The American Express Community Stadium (Falmer- East Sussex)
Mar 30 2019 - 3:00pm,complete,Burnley,Wolverhampton Wanderers,Chris Kavanagh,2,0,2,Turf Moor (Burnley)
Mar 30 2019 - 3:00pm,complete,Crystal Palace,Huddersfield Town,Lee Probert,2,0,2,Selhurst Park (London)
Mar 30 2019 - 3:00pm,complete,Leicester City,AFC Bournemouth,Lee Mason,2,0,2,King Power Stadium (Leicester- Leicestershire)
Mar 30 2019 - 3:00pm,complete,Manchester United,Watford,Stuart Attwell,2,1,3,Old Trafford (Manchester)
Mar 30 2019 - 5:30pm,complete,West Ham United,Everton,Paul Tierney,0,2,2,London Stadium (London)
Mar 31 2019 - 1:05pm,complete,Cardiff City,Chelsea,Craig Pawson,1,2,3,Cardiff City Stadium (Cardiff (Caerdydd))
Mar 31 2019 - 3:30pm,complete,Liverpool,Tottenham Hotspur,Martin Atkinson,2,1,3,Anfield (Liverpool)
Apr 01 2019 - 7:00pm,complete,Arsenal,Newcastle United,Anthony Taylor,2,0,2,Emirates Stadium (London)
Apr 02 2019 - 6:45pm,complete,Watford,Fulham,Roger East,4,1,5,Vicarage Road (Watford)
Apr 02 2019 - 6:45pm,complete,Wolverhampton Wanderers,Manchester United,Mike Dean,2,1,3,Molineux Stadium (Wolverhampton- West Midlands)
Apr 03 2019 - 6:45pm,complete,Chelsea,Brighton & Hove Albion,Graham Scott,3,0,3,Stamford Bridge (London)
Apr 03 2019 - 6:45pm,complete,Tottenham Hotspur,Crystal Palace,Andre Marriner,2,0,2,Tottenham Hotspur Stadium (London)
Apr 03 2019 - 6:45pm,complete,Manchester City,Cardiff City,Jonathan Moss,2,0,2,Etihad Stadium (Manchester)
Apr 05 2019 - 7:00pm,complete,Southampton,Liverpool,Paul Tierney,1,3,4,St. Mary's Stadium (Southampton- Hampshire)
Apr 06 2019 - 2:00pm,complete,AFC Bournemouth,Burnley,Martin Atkinson,1,3,4,Vitality Stadium (Bournemouth- Dorset)
Apr 06 2019 - 2:00pm,complete,Huddersfield Town,Leicester City,David Coote,1,4,5,John Smith's Stadium (Huddersfield- West Yorkshire)
Apr 06 2019 - 2:00pm,complete,Newcastle United,Crystal Palace,Stuart Attwell,0,1,1,St. James' Park (Newcastle upon Tyne)
Apr 07 2019 - 1:05pm,complete,Everton,Arsenal,Kevin Friend,1,0,1,Goodison Park (Liverpool)
Apr 08 2019 - 7:00pm,complete,Chelsea,West Ham United,Chris Kavanagh,2,0,2,Stamford Bridge (London)
Apr 12 2019 - 7:00pm,complete,Leicester City,Newcastle United,Chris Kavanagh,0,1,1,King Power Stadium (Leicester- Leicestershire)
Apr 13 2019 - 11:30am,complete,Tottenham Hotspur,Huddersfield Town,Lee Mason,4,0,4,Tottenham Hotspur Stadium (London)
Apr 13 2019 - 2:00pm,complete,Brighton & Hove Albion,AFC Bournemouth,Kevin Friend,0,5,5,The American Express Community Stadium (Falmer- East Sussex)
Apr 13 2019 - 2:00pm,complete,Burnley,Cardiff City,Mike Dean,2,0,2,Turf Moor (Burnley)
Apr 13 2019 - 2:00pm,complete,Fulham,Everton,Lee Probert,2,0,2,Craven Cottage (London)
Apr 13 2019 - 2:00pm,complete,Southampton,Wolverhampton Wanderers,Jonathan Moss,3,1,4,St. Mary's Stadium (Southampton- Hampshire)
Apr 13 2019 - 4:30pm,complete,Manchester United,West Ham United,Graham Scott,2,1,3,Old Trafford (Manchester)
Apr 14 2019 - 1:05pm,complete,Crystal Palace,Manchester City,Martin Atkinson,1,3,4,Selhurst Park (London)
Apr 14 2019 - 3:30pm,complete,Liverpool,Chelsea,Michael Oliver,2,0,2,Anfield (Liverpool)
Apr 15 2019 - 7:00pm,complete,Watford,Arsenal,Craig Pawson,0,1,1,Vicarage Road (Watford)
Apr 16 2019 - 6:45pm,complete,Brighton & Hove Albion,Cardiff City,Andre Marriner,0,2,2,The American Express Community Stadium (Falmer- East Sussex)
Apr 20 2019 - 11:30am,complete,Manchester City,Tottenham Hotspur,Michael Oliver,1,0,1,Etihad Stadium (Manchester)
Apr 20 2019 - 2:00pm,complete,AFC Bournemouth,Fulham,David Coote,0,1,1,Vitality Stadium (Bournemouth- Dorset)
Apr 20 2019 - 2:00pm,complete,Huddersfield Town,Watford,Roger East,1,2,3,John Smith's Stadium (Huddersfield- West Yorkshire)
Apr 20 2019 - 2:00pm,complete,West Ham United,Leicester City,Lee Probert,2,2,4,London Stadium (London)
Apr 20 2019 - 2:00pm,complete,Wolverhampton Wanderers,Brighton & Hove Albion,Craig Pawson,0,0,0,Molineux Stadium (Wolverhampton- West Midlands)
Apr 20 2019 - 4:30pm,complete,Newcastle United,Southampton,Anthony Taylor,3,1,4,St. James' Park (Newcastle upon Tyne)
Apr 21 2019 - 12:30pm,complete,Everton,Manchester United,Paul Tierney,4,0,4,Goodison Park (Liverpool)
Apr 21 2019 - 3:00pm,complete,Arsenal,Crystal Palace,Jonathan Moss,2,3,5,Emirates Stadium (London)
Apr 21 2019 - 3:00pm,complete,Cardiff City,Liverpool,Martin Atkinson,0,2,2,Cardiff City Stadium (Cardiff (Caerdydd))
Apr 22 2019 - 7:00pm,complete,Chelsea,Burnley,Kevin Friend,2,2,4,Stamford Bridge (London)
Apr 23 2019 - 6:45pm,complete,Watford,Southampton,Mike Dean,1,1,2,Vicarage Road (Watford)
Apr 23 2019 - 6:45pm,complete,Tottenham Hotspur,Brighton & Hove Albion,Chris Kavanagh,1,0,1,Tottenham Hotspur Stadium (London)
Apr 24 2019 - 6:45pm,complete,Wolverhampton Wanderers,Arsenal,Stuart Attwell,3,1,4,Molineux Stadium (Wolverhampton- West Midlands)
Apr 24 2019 - 7:00pm,complete,Manchester United,Manchester City,Andre Marriner,0,2,2,Old Trafford (Manchester)
Apr 26 2019 - 7:00pm,complete,Liverpool,Huddersfield Town,Kevin Friend,5,0,5,Anfield (Liverpool)
Apr 27 2019 - 11:30am,complete,Tottenham Hotspur,West Ham United,Anthony Taylor,0,1,1,Tottenham Hotspur Stadium (London)
Apr 27 2019 - 2:00pm,complete,Crystal Palace,Everton,Lee Mason,0,0,0,Selhurst Park (London)
Apr 27 2019 - 2:00pm,complete,Fulham,Cardiff City,Chris Kavanagh,1,0,1,Craven Cottage (London)
Apr 27 2019 - 2:00pm,complete,Southampton,AFC Bournemouth,Graham Scott,3,3,6,St. Mary's Stadium (Southampton- Hampshire)
Apr 27 2019 - 2:00pm,complete,Watford,Wolverhampton Wanderers,Simon Hooper,1,2,3,Vicarage Road (Watford)
Apr 27 2019 - 4:30pm,complete,Brighton & Hove Albion,Newcastle United,Mike Dean,1,1,2,The American Express Community Stadium (Falmer- East Sussex)
Apr 28 2019 - 11:00am,complete,Leicester City,Arsenal,Michael Oliver,3,0,3,King Power Stadium (Leicester- Leicestershire)
Apr 28 2019 - 1:05pm,complete,Burnley,Manchester City,Paul Tierney,0,1,1,Turf Moor (Burnley)
Apr 28 2019 - 3:30pm,complete,Manchester United,Chelsea,Martin Atkinson,1,1,2,Old Trafford (Manchester)
May 03 2019 - 7:00pm,complete,Everton,Burnley,Chris Kavanagh,2,0,2,Goodison Park (Liverpool)
May 04 2019 - 11:30am,complete,AFC Bournemouth,Tottenham Hotspur,Craig Pawson,1,0,1,Vitality Stadium (Bournemouth- Dorset)
May 04 2019 - 2:00pm,complete,West Ham United,Southampton,Stuart Attwell,3,0,3,London Stadium (London)
May 04 2019 - 2:00pm,complete,Wolverhampton Wanderers,Fulham,Jonathan Moss,1,0,1,Molineux Stadium (Wolverhampton- West Midlands)
May 04 2019 - 4:30pm,complete,Cardiff City,Crystal Palace,Michael Oliver,2,3,5,Cardiff City Stadium (Cardiff (Caerdydd))
May 04 2019 - 6:45pm,complete,Newcastle United,Liverpool,Andre Marriner,2,3,5,St. James' Park (Newcastle upon Tyne)
May 05 2019 - 1:00pm,complete,Chelsea,Watford,Paul Tierney,3,0,3,Stamford Bridge (London)
May 05 2019 - 1:00pm,complete,Huddersfield Town,Manchester United,Lee Mason,1,1,2,John Smith's Stadium (Huddersfield- West Yorkshire)
May 05 2019 - 3:30pm,complete,Arsenal,Brighton & Hove Albion,Anthony Taylor,1,1,2,Emirates Stadium (London)
May 06 2019 - 7:00pm,complete,Manchester City,Leicester City,Mike Dean,1,0,1,Etihad Stadium (Manchester)
May 12 2019 - 2:00pm,complete,Brighton & Hove Albion,Manchester City,Michael Oliver,1,4,5,The American Express Community Stadium (Falmer- East Sussex)
May 12 2019 - 2:00pm,complete,Burnley,Arsenal,Mike Dean,1,3,4,Turf Moor (Burnley)
May 12 2019 - 2:00pm,complete,Crystal Palace,AFC Bournemouth,Roger East,5,3,8,Selhurst Park (London)
May 12 2019 - 2:00pm,complete,Fulham,Newcastle United,Kevin Friend,0,4,4,Craven Cottage (London)
May 12 2019 - 2:00pm,complete,Leicester City,Chelsea,Anthony Taylor,0,0,0,King Power Stadium (Leicester- Leicestershire)
May 12 2019 - 2:00pm,complete,Liverpool,Wolverhampton Wanderers,Martin Atkinson,2,0,2,Anfield (Liverpool)
May 12 2019 - 2:00pm,complete,Manchester United,Cardiff City,Jonathan Moss,0,2,2,Old Trafford (Manchester)
May 12 2019 - 2:00pm,complete,Southampton,Huddersfield Town,Lee Probert,1,1,2,St. Mary's Stadium (Southampton- Hampshire)
May 12 2019 - 2:00pm,complete,Tottenham Hotspur,Everton,Andre Marriner,2,2,4,Tottenham Hotspur Stadium (London)
May 12 2019 - 2:00pm,complete,Watford,West Ham United,Chris Kavanagh,1,4,5,Vicarage Road (Watford)
