date_GMT,status,home_team_name,away_team_name,referee,home_team_goal_count,away_team_goal_count,total_goal_count,stadium_name
Dec 01 2018 - 3:00pm,complete,Crystal Palace,Burnley,Lee Probert,2,0,2,Selhurst Park (London)
Dec 01 2018 - 3:00pm,complete,Huddersfield Town,Brighton & Hove Albion,Michael Oliver,1,2,3,John Smith's Stadium (Huddersfield- West Yorkshire)
Dec 01 2018 - 3:00pm,complete,Leicester City,Watford,Graham Scott,2,0,2,King Power Stadium (Leicester- Leicestershire)
Dec 01 2018 - 3:00pm,complete,Manchester City,AFC Bournemouth,Stuart Attwell,3,1,4,Etihad Stadium (Manchester)
Dec 01 2018 - 3:00pm,complete,Newcastle United,West Ham United,Paul Tierney,0,3,3,St. James' Park (Newcastle upon Tyne)
Dec 01 2018 - 5:30pm,complete,Southampton,Manchester United,Kevin Friend,2,2,4,St. Mary's Stadium (Southampton- Hampshire)
Dec 02 2018 - 12:00pm,complete,Chelsea,Fulham,Craig Pawson,2,0,2,Stamford Bridge (London)
Dec 02 2018 - 2:05pm,complete,Arsenal,Tottenham Hotspur,Mike Dean,4,2,6,Emirates Stadium (London)
Dec 02 2018 - 4:15pm,complete,Liverpool,Everton,Chris Kavanagh,1,0,1,Anfield (Liverpool)
Dec 04 2018 - 7:45pm,complete,AFC Bournemouth,Huddersfield Town,Roger East,2,1,3,Vitality Stadium (Bournemouth- Dorset)
Dec 04 2018 - 7:45pm,complete,Brighton & Hove Albion,Crystal Palace,Kevin Friend,3,1,4,The American Express Community Stadium (Falmer- East Sussex)
Dec 04 2018 - 7:45pm,complete,West Ham United,Cardiff City,Graham Scott,3,1,4,London Stadium (London)
Dec 04 2018 - 8:00pm,complete,Watford,Manchester City,Paul Tierney,1,2,3,Vicarage Road (Watford)
Dec 05 2018 - 7:45pm,complete,Burnley,Liverpool,Stuart Attwell,1,3,4,Turf Moor (Burnley)
Dec 05 2018 - 7:45pm,complete,Fulham,Leicester City,David Coote,1,1,2,Craven Cottage (London)
Dec 05 2018 - 7:45pm,complete,Wolverhampton Wanderers,Chelsea,Jonathan Moss,2,1,3,Molineux Stadium (Wolverhampton- West Midlands)
Dec 05 2018 - 7:45pm,complete,Everton,Newcastle United,Lee Mason,1,1,2,Goodison Park (Liverpool)
Dec 05 2018 - 8:00pm,complete,Manchester United,Arsenal,Andre Marriner,2,2,4,Old Trafford (Manchester)
Dec 05 2018 - 8:00pm,complete,Tottenham Hotspur,Southampton,Anthony Taylor,3,1,4,Wembley Stadium (London)
Dec 08 2018 - 12:30pm,complete,AFC Bournemouth,Liverpool,Lee Mason,0,4,4,Vitality Stadium (Bournemouth- Dorset)
Dec 08 2018 - 3:00pm,complete,Arsenal,Huddersfield Town,Paul Tierney,1,0,1,Emirates Stadium (London)
Dec 08 2018 - 3:00pm,complete,Burnley,Brighton & Hove Albion,Martin Atkinson,1,0,1,Turf Moor (Burnley)
Dec 08 2018 - 3:00pm,complete,Cardiff City,Southampton,Jonathan Moss,1,0,1,Cardiff City Stadium (Cardiff (Caerdydd))
Dec 08 2018 - 3:00pm,complete,Manchester United,Fulham,Lee Probert,4,1,5,Old Trafford (Manchester)
Dec 08 2018 - 3:00pm,complete,West Ham United,Crystal Palace,Anthony Taylor,3,2,5,London Stadium (London)
Dec 08 2018 - 5:30pm,complete,Chelsea,Manchester City,Michael Oliver,2,0,2,Stamford Bridge (London)
Dec 08 2018 - 7:45pm,complete,Leicester City,Tottenham Hotspur,Craig Pawson,0,2,2,King Power Stadium (Leicester- Leicestershire)
Dec 09 2018 - 4:00pm,complete,Newcastle United,Wolverhampton Wanderers,Mike Dean,1,2,3,St. James' Park (Newcastle upon Tyne)
Dec 10 2018 - 8:00pm,complete,Everton,Watford,Kevin Friend,2,2,4,Goodison Park (Liverpool)
Dec 15 2018 - 12:30pm,complete,Manchester City,Everton,Craig Pawson,3,1,4,Etihad Stadium (Manchester)
Dec 15 2018 - 3:00pm,complete,Crystal Palace,Leicester City,Michael Oliver,1,0,1,Selhurst Park (London)
Dec 15 2018 - 3:00pm,complete,Huddersfield Town,Newcastle United,Anthony Taylor,0,1,1,John Smith's Stadium (Huddersfield- West Yorkshire)
Dec 15 2018 - 3:00pm,complete,Tottenham Hotspur,Burnley,Graham Scott,1,0,1,Wembley Stadium (London)
Dec 15 2018 - 3:00pm,complete,Watford,Cardiff City,Andy Madley,3,2,5,Vicarage Road (Watford)
Dec 15 2018 - 3:00pm,complete,Wolverhampton Wanderers,AFC Bournemouth,Simon Hooper,2,0,2,Molineux Stadium (Wolverhampton- West Midlands)
Dec 15 2018 - 5:30pm,complete,Fulham,West Ham United,Mike Dean,0,2,2,Craven Cottage (London)
Dec 16 2018 - 1:30pm,complete,Brighton & Hove Albion,Chelsea,Stuart Attwell,1,2,3,The American Express Community Stadium (Falmer- East Sussex)
Dec 16 2018 - 1:30pm,complete,Southampton,Arsenal,Chris Kavanagh,3,2,5,St. Mary's Stadium (Southampton- Hampshire)
Dec 16 2018 - 4:00pm,complete,Liverpool,Manchester United,Martin Atkinson,3,1,4,Anfield (Liverpool)
Dec 21 2018 - 8:00pm,complete,Wolverhampton Wanderers,Liverpool,Craig Pawson,0,2,2,Molineux Stadium (Wolverhampton- West Midlands)
Dec 22 2018 - 12:30pm,complete,Arsenal,Burnley,Kevin Friend,3,1,4,Emirates Stadium (London)
Dec 22 2018 - 3:00pm,complete,AFC Bournemouth,Brighton & Hove Albion,Mike Dean,2,0,2,Vitality Stadium (Bournemouth- Dorset)
Dec 22 2018 - 3:00pm,complete,Chelsea,Leicester City,Lee Probert,0,1,1,Stamford Bridge (London)
Dec 22 2018 - 3:00pm,complete,Huddersfield Town,Southampton,Stuart Attwell,1,3,4,John Smith's Stadium (Huddersfield- West Yorkshire)
Dec 22 2018 - 3:00pm,complete,Manchester City,Crystal Palace,Andre Marriner,2,3,5,Etihad Stadium (Manchester)
Dec 22 2018 - 3:00pm,complete,Newcastle United,Fulham,Martin Atkinson,0,0,0,St. James' Park (Newcastle upon Tyne)
Dec 22 2018 - 3:00pm,complete,West Ham United,Watford,Lee Mason,0,2,2,London Stadium (London)
Dec 22 2018 - 5:30pm,complete,Cardiff City,Manchester United,Michael Oliver,1,5,6,Cardiff City Stadium (Cardiff (Caerdydd))
Dec 23 2018 - 4:00pm,complete,Everton,Tottenham Hotspur,Paul Tierney,2,6,8,Goodison Park (Liverpool)
Dec 26 2018 - 12:30pm,complete,Fulham,Wolverhampton Wanderers,Andre Marriner,1,1,2,Craven Cottage (London)
Dec 26 2018 - 3:00pm,complete,Burnley,Everton,Michael Oliver,1,5,6,Turf Moor (Burnley)
Dec 26 2018 - 3:00pm,complete,Crystal Palace,Cardiff City,Lee Probert,0,0,0,Selhurst Park (London)
Dec 26 2018 - 3:00pm,complete,Leicester City,Manchester City,Mike Dean,2,1,3,King Power Stadium (Leicester- Leicestershire)
Dec 26 2018 - 3:00pm,complete,Liverpool,Newcastle United,Graham Scott,4,0,4,Anfield (Liverpool)
Dec 26 2018 - 3:00pm,complete,Manchester United,Huddersfield Town,Jonathan Moss,3,1,4,Old Trafford (Manchester)
Dec 26 2018 - 3:00pm,complete,Tottenham Hotspur,AFC Bournemouth,Chris Kavanagh,5,0,5,Wembley Stadium (London)
Dec 26 2018 - 5:15pm,complete,Brighton & Hove Albion,Arsenal,Anthony Taylor,1,1,2,The American Express Community Stadium (Falmer- East Sussex)
Dec 26 2018 - 7:30pm,complete,Watford,Chelsea,Martin Atkinson,1,2,3,Vicarage Road (Watford)
Dec 27 2018 - 7:45pm,complete,Southampton,West Ham United,Craig Pawson,1,2,3,St. Mary's Stadium (Southampton- Hampshire)
Dec 29 2018 - 3:00pm,complete,Brighton & Hove Albion,Everton,Andy Madley,1,0,1,The American Express Community Stadium (Falmer- East Sussex)
Dec 29 2018 - 3:00pm,complete,Fulham,Huddersfield Town,Kevin Friend,1,0,1,Craven Cottage (London)
Dec 29 2018 - 3:00pm,complete,Leicester City,Cardiff City,Simon Hooper,0,1,1,King Power Stadium (Leicester- Leicestershire)
Dec 29 2018 - 3:00pm,complete,Tottenham Hotspur,Wolverhampton Wanderers,Stuart Attwell,1,3,4,Wembley Stadium (London)
Dec 29 2018 - 3:00pm,complete,Watford,Newcastle United,Roger East,1,1,2,Vicarage Road (Watford)
Dec 29 2018 - 5:30pm,complete,Liverpool,Arsenal,Michael Oliver,5,1,6,Anfield (Liverpool)
Dec 30 2018 - 12:00pm,complete,Crystal Palace,Chelsea,Craig Pawson,0,1,1,Selhurst Park (London)
Dec 30 2018 - 2:15pm,complete,Burnley,West Ham United,David Coote,2,0,2,Turf Moor (Burnley)
Dec 30 2018 - 2:15pm,complete,Southampton,Manchester City,Paul Tierney,1,3,4,St. Mary's Stadium (Southampton- Hampshire)
Dec 30 2018 - 4:30pm,complete,Manchester United,AFC Bournemouth,Lee Mason,4,1,5,Old Trafford (Manchester)
Jan 01 2019 - 12:30pm,complete,Everton,Leicester City,Martin Atkinson,0,1,1,Goodison Park (Liverpool)
Jan 01 2019 - 3:00pm,complete,Arsenal,Fulham,Graham Scott,4,1,5,Emirates Stadium (London)
Jan 01 2019 - 5:30pm,complete,Cardiff City,Tottenham Hotspur,Kevin Friend,0,3,3,Cardiff City Stadium (Cardiff (Caerdydd))
Jan 02 2019 - 7:45pm,complete,Chelsea,Southampton,Jonathan Moss,0,0,0,Stamford Bridge (London)
Jan 02 2019 - 7:45pm,complete,Huddersfield Town,Burnley,Mike Dean,1,2,3,John Smith's Stadium (Huddersfield- West Yorkshire)
Jan 02 2019 - 7:45pm,complete,West Ham United,Brighton & Hove Albion,Chris Kavanagh,2,2,4,London Stadium (London)
Jan 02 2019 - 7:45pm,complete,Wolverhampton Wanderers,Crystal Palace,Roger East,0,2,2,Molineux Stadium (Wolverhampton- West Midlands)
Jan 02 2019 - 8:00pm,complete,AFC Bournemouth,Watford,David Coote,3,3,6,Vitality Stadium (Bournemouth- Dorset)
Jan 02 2019 - 8:00pm,complete,Newcastle United,Manchester United,Andre Marriner,0,2,2,St. James' Park (Newcastle upon Tyne)
Jan 03 2019 - 8:00pm,complete,Manchester City,Liverpool,Anthony Taylor,2,1,3,Etihad Stadium (Manchester)
Jan 12 2019 - 12:30pm,complete,West Ham United,Arsenal,Jonathan Moss,1,0,1,London Stadium (London)
Jan 12 2019 - 3:00pm,complete,Brighton & Hove Albion,Liverpool,Kevin Friend,0,1,1,The American Express Community Stadium (Falmer- East Sussex)
Jan 12 2019 - 3:00pm,complete,Burnley,Fulham,Martin Atkinson,2,1,3,Turf Moor (Burnley)
Jan 12 2019 - 3:00pm,complete,Cardiff City,Huddersfield Town,Lee Mason,0,0,0,Cardiff City Stadium (Cardiff (Caerdydd))
Jan 12 2019 - 3:00pm,complete,Crystal Palace,Watford,Paul Tierney,1,2,3,Selhurst Park (London)
Jan 12 2019 - 3:00pm,complete,Leicester City,Southampton,Michael Oliver,1,2,3,King Power Stadium (Leicester- Leicestershire)
Jan 12 2019 - 5:30pm,complete,Chelsea,Newcastle United,Chris Kavanagh,2,1,3,Stamford Bridge (London)
Jan 13 2019 - 2:15pm,complete,Everton,AFC Bournemouth,Anthony Taylor,2,0,2,Goodison Park (Liverpool)
Jan 13 2019 - 4:30pm,complete,Tottenham Hotspur,Manchester United,Mike Dean,0,1,1,Wembley Stadium (London)
Jan 14 2019 - 8:00pm,complete,Manchester City,Wolverhampton Wanderers,Craig Pawson,3,0,3,Etihad Stadium (Manchester)
Jan 19 2019 - 12:30pm,complete,Wolverhampton Wanderers,Leicester City,Chris Kavanagh,4,3,7,Molineux Stadium (Wolverhampton- West Midlands)
Jan 19 2019 - 3:00pm,complete,AFC Bournemouth,West Ham United,Simon Hooper,2,0,2,Vitality Stadium (Bournemouth- Dorset)
Jan 19 2019 - 3:00pm,complete,Liverpool,Crystal Palace,Jonathan Moss,4,3,7,Anfield (Liverpool)
Jan 19 2019 - 3:00pm,complete,Manchester United,Brighton & Hove Albion,Paul Tierney,2,1,3,Old Trafford (Manchester)
Jan 19 2019 - 3:00pm,complete,Newcastle United,Cardiff City,Stuart Attwell,3,0,3,St. James' Park (Newcastle upon Tyne)
Jan 19 2019 - 3:00pm,complete,Southampton,Everton,Graham Scott,2,1,3,St. Mary's Stadium (Southampton- Hampshire)
Jan 19 2019 - 3:00pm,complete,Watford,Burnley,Michael Oliver,0,0,0,Vicarage Road (Watford)
Jan 19 2019 - 5:30pm,complete,Arsenal,Chelsea,Anthony Taylor,2,0,2,Emirates Stadium (London)
Jan 20 2019 - 1:30pm,complete,Huddersfield Town,Manchester City,Andre Marriner,0,3,3,John Smith's Stadium (Huddersfield- West Yorkshire)
Jan 20 2019 - 4:00pm,complete,Fulham,Tottenham Hotspur,Craig Pawson,1,2,3,Craven Cottage (London)
Jan 29 2019 - 7:45pm,complete,Arsenal,Cardiff City,Mike Dean,2,1,3,Emirates Stadium (London)
Jan 29 2019 - 7:45pm,complete,Fulham,Brighton & Hove Albion,Lee Probert,4,2,6,Craven Cottage (London)
Jan 29 2019 - 7:45pm,complete,Huddersfield Town,Everton,Stuart Attwell,0,1,1,John Smith's Stadium (Huddersfield- West Yorkshire)
Jan 29 2019 - 7:45pm,complete,Wolverhampton Wanderers,West Ham United,David Coote,3,0,3,Molineux Stadium (Wolverhampton- West Midlands)
Jan 29 2019 - 8:00pm,complete,Manchester United,Burnley,Jonathan Moss,2,2,4,Old Trafford (Manchester)
Jan 29 2019 - 8:00pm,complete,Newcastle United,Manchester City,Paul Tierney,2,1,3,St. James' Park (Newcastle upon Tyne)
Jan 30 2019 - 7:45pm,complete,AFC Bournemouth,Chelsea,Roger East,4,0,4,Vitality Stadium (Bournemouth- Dorset)
Jan 30 2019 - 7:45pm,complete,Southampton,Crystal Palace,Andre Marriner,1,1,2,St. Mary's Stadium (Southampton- Hampshire)
Jan 30 2019 - 8:00pm,complete,Liverpool,Leicester City,Martin Atkinson,1,1,2,Anfield (Liverpool)
Jan 30 2019 - 8:00pm,complete,Tottenham Hotspur,Watford,Graham Scott,2,1,3,Wembley Stadium (London)
Feb 02 2019 - 12:30pm,complete,Tottenham Hotspur,Newcastle United,Andre Marriner,1,0,1,Wembley Stadium (London)
Feb 02 2019 - 3:00pm,complete,Brighton & Hove Albion,Watford,Simon Hooper,0,0,0,The American Express Community Stadium (Falmer- East Sussex)
Feb 02 2019 - 3:00pm,complete,Burnley,Southampton,Anthony Taylor,1,1,2,Turf Moor (Burnley)
Feb 02 2019 - 3:00pm,complete,Chelsea,Huddersfield Town,Paul Tierney,5,0,5,Stamford Bridge (London)
Feb 02 2019 - 3:00pm,complete,Crystal Palace,Fulham,Michael Oliver,2,0,2,Selhurst Park (London)
Feb 02 2019 - 3:00pm,complete,Everton,Wolverhampton Wanderers,Lee Mason,1,3,4,Goodison Park (Liverpool)
Feb 02 2019 - 5:30pm,complete,Cardiff City,AFC Bournemouth,Jonathan Moss,2,0,2,Cardiff City Stadium (Cardiff (Caerdydd))
Feb 03 2019 - 2:05pm,complete,Leicester City,Manchester United,Mike Dean,0,1,1,King Power Stadium (Leicester- Leicestershire)
Feb 03 2019 - 4:30pm,complete,Manchester City,Arsenal,Martin Atkinson,3,1,4,Etihad Stadium (Manchester)
Feb 04 2019 - 8:00pm,complete,West Ham United,Liverpool,Kevin Friend,1,1,2,London Stadium (London)
Feb 06 2019 - 7:45pm,complete,Everton,Manchester City,Craig Pawson,0,2,2,Goodison Park (Liverpool)
